customer_state,avg_delay_days
AL,-7.987124463519313
MA,-9.987152034261243
ES,-10.037797863599014
PI,-10.444043321299638
MS,-10.551422319474836
BA,-10.566881918819188
SE,-10.794642857142858
SP,-10.825462401455427
TO,-10.97163120567376
SC,-11.29051724137931
CE,-11.339622641509434
GO,-11.6568551510457
DF,-11.740207833733013
RJ,-11.803078426581969
PE,-12.72338403041825
MG,-12.989837115411389
PB,-13.137535816618911
PR,-13.283240568954854
MT,-13.30550918196995
RS,-13.974449339207048
RN,-14.266211604095563
PA,-14.696428571428571
RR,-18.40625
RO,-19.0
AM,-20.258426966292134
AP,-21.8
AC,-23.233333333333334
