purchase_date,avg_delay_days
2016-09-04,0.0
2016-09-05,0.0
2016-09-13,0.0
2016-09-15,36.0
2016-10-02,0.0
2016-10-03,-22.272727272727273
2016-10-04,-25.67924528301887
2016-10-05,-27.637254901960784
2016-10-06,-28.28723404255319
2016-10-07,-32.58024691358025
2016-10-08,-38.225352112676056
2016-10-09,-38.41509433962264
2016-10-10,-29.92
2016-10-22,0.0
2016-12-23,-22.0
2017-01-05,-25.254901960784313
2017-01-06,-32.111111111111114
2017-01-07,-17.666666666666668
2017-01-08,-19.625
2017-01-09,-14.571428571428571
2017-01-10,-32.142857142857146
2017-01-11,-26.5
2017-01-12,-16.458333333333332
2017-01-13,-26.68421052631579
2017-01-14,-21.76923076923077
2017-01-15,-34.57142857142857
2017-01-16,-25.933333333333334
2017-01-17,-27.68041237113402
2017-01-18,-26.25
2017-01-19,-27.228070175438596
2017-01-20,-25.0
2017-01-21,-33.810344827586206
2017-01-22,-26.615384615384617
2017-01-23,-23.3
2017-01-24,-25.696969696969695
2017-01-25,-24.68807339449541
2017-01-26,-23.47486033519553
2017-01-27,-30.428571428571427
2017-01-28,-32.52173913043478
2017-01-29,-29.34722222222222
2017-01-30,-29.28205128205128
2017-01-31,-24.727272727272727
2017-02-01,-21.07751937984496
2017-02-02,-22.35576923076923
2017-02-03,-19.60952380952381
2017-02-04,-22.77391304347826
2017-02-05,-21.753846153846155
2017-02-06,-17.368794326241133
2017-02-07,-21.140969162995596
2017-02-08,-21.253012048192772
2017-02-09,-17.516778523489933
2017-02-10,-19.16949152542373
2017-02-11,-17.654761904761905
2017-02-12,-18.51818181818182
2017-02-13,-19.755555555555556
2017-02-14,-16.65034965034965
2017-02-15,-20.194174757281555
2017-02-16,-18.02061855670103
2017-02-17,-21.764044943820224
2017-02-18,-19.556701030927837
2017-02-19,-19.609756097560975
2017-02-20,-13.956896551724139
2017-02-21,-15.4
2017-02-22,-16.490909090909092
2017-02-23,-14.40983606557377
2017-02-24,-12.510204081632653
2017-02-25,-10.72972972972973
2017-02-26,-9.246913580246913
2017-02-27,-10.6
2017-02-28,-9.737373737373737
2017-03-01,-12.808510638297872
2017-03-02,-10.625
2017-03-03,-10.23913043478261
2017-03-04,-11.414965986394558
2017-03-05,-11.438356164383562
2017-03-06,-10.062146892655367
2017-03-07,-11.670967741935485
2017-03-08,-9.678571428571429
2017-03-09,-9.976958525345623
2017-03-10,-12.793103448275861
2017-03-11,-14.156028368794326
2017-03-12,-13.355140186915888
2017-03-13,-9.77832512315271
2017-03-14,-11.841269841269842
2017-03-15,-10.465437788018432
2017-03-16,-11.619047619047619
2017-03-17,-9.716535433070867
2017-03-18,-13.952
2017-03-19,-12.86046511627907
2017-03-20,-11.588832487309645
2017-03-21,-12.179347826086957
2017-03-22,-14.364532019704434
2017-03-23,-13.81981981981982
2017-03-24,-11.581560283687944
2017-03-25,-13.54109589041096
2017-03-26,-9.258928571428571
2017-03-27,-13.8659793814433
2017-03-28,-13.845744680851064
2017-03-29,-11.31060606060606
2017-03-30,-15.235294117647058
2017-03-31,-12.649122807017545
2017-04-01,-16.097087378640776
2017-04-02,-15.188524590163935
2017-04-03,-14.253086419753087
2017-04-04,-12.2046783625731
2017-04-05,-14.172413793103448
2017-04-06,-13.543859649122806
2017-04-07,-16.4873417721519
2017-04-08,-15.561983471074381
2017-04-09,-15.911290322580646
2017-04-10,-14.580882352941176
2017-04-11,-14.025
2017-04-12,-12.27450980392157
2017-04-13,-13.742268041237113
2017-04-14,-12.322222222222223
2017-04-15,-13.046511627906977
2017-04-16,-10.160493827160494
2017-04-17,-9.414414414414415
2017-04-18,-11.13013698630137
2017-04-19,-7.828729281767956
2017-04-20,-7.030888030888031
2017-04-21,-12.164285714285715
2017-04-22,-12.037735849056604
2017-04-23,-9.758389261744966
2017-04-24,-7.944444444444445
2017-04-25,-9.956756756756757
2017-04-26,-11.1651376146789
2017-04-27,-21.291666666666668
2017-04-28,-10.923976608187134
2017-04-29,-15.154411764705882
2017-04-30,-11.702702702702704
2017-05-01,-11.555555555555555
2017-05-02,-12.621004566210045
2017-05-03,-11.94300518134715
2017-05-04,-14.56020942408377
2017-05-05,-13.772511848341232
2017-05-06,-14.172897196261681
2017-05-07,-13.430622009569378
2017-05-08,-12.721030042918455
2017-05-09,-10.37109375
2017-05-10,-8.448275862068966
2017-05-11,-10.386363636363637
2017-05-12,-9.032407407407407
2017-05-13,-10.178571428571429
2017-05-14,-11.367924528301886
2017-05-15,-12.2560553633218
2017-05-16,-13.413793103448276
2017-05-17,-12.865671641791044
2017-05-18,-12.57918552036199
2017-05-19,-12.287234042553191
2017-05-20,-14.701612903225806
2017-05-21,-14.811764705882354
2017-05-22,-14.121323529411764
2017-05-23,-14.451327433628318
2017-05-24,-14.75294117647059
2017-05-25,-12.214285714285714
2017-05-26,-14.95
2017-05-27,-14.671052631578947
2017-05-28,-16.16568047337278
2017-05-29,-13.01628664495114
2017-05-30,-13.356435643564357
2017-05-31,-12.442396313364055
2017-06-01,-12.737089201877934
2017-06-02,-14.538461538461538
2017-06-03,-11.43452380952381
2017-06-04,-12.316666666666666
2017-06-05,-12.59375
2017-06-06,-12.612
2017-06-07,-11.282352941176471
2017-06-08,-13.626459143968871
2017-06-09,-15.261083743842365
2017-06-10,-13.690647482014388
2017-06-11,-12.51131221719457
2017-06-12,-5.9789029535864975
2017-06-13,-12.376106194690266
2017-06-14,-11.671052631578947
2017-06-15,-12.412935323383085
2017-06-16,-9.523809523809524
2017-06-17,-12.301470588235293
2017-06-18,-12.104294478527608
2017-06-19,-11.632996632996633
2017-06-20,-11.264150943396226
2017-06-21,-9.53448275862069
2017-06-22,-9.013513513513514
2017-06-23,-12.610810810810811
2017-06-24,-12.88
2017-06-25,-12.402116402116402
2017-06-26,-11.007633587786259
2017-06-27,-12.094827586206897
2017-06-28,-12.328282828282829
2017-06-29,-10.336448598130842
2017-06-30,-12.100671140939598
2017-07-01,-14.324675324675324
2017-07-02,-12.009389671361502
2017-07-03,-11.570731707317073
2017-07-04,-11.244343891402714
2017-07-05,-12.22340425531915
2017-07-06,-12.379432624113475
2017-07-07,-12.758620689655173
2017-07-08,-13.080536912751677
2017-07-09,-11.813253012048193
2017-07-10,-10.155038759689923
2017-07-11,-12.229452054794521
2017-07-12,-11.797794117647058
2017-07-13,-11.69927536231884
2017-07-14,-11.99622641509434
2017-07-15,-12.0
2017-07-16,-10.422018348623853
2017-07-17,-12.663398692810457
2017-07-18,-11.56056338028169
2017-07-19,-12.219081272084805
2017-07-20,-13.26384364820847
2017-07-21,-12.817757009345794
2017-07-22,-13.056603773584905
2017-07-23,-12.427745664739884
2017-07-24,-10.342372881355931
2017-07-25,-12.35125448028674
2017-07-26,-12.96887159533074
2017-07-27,-13.359183673469389
2017-07-28,-13.020325203252032
2017-07-29,-12.753086419753087
2017-07-30,-14.0
2017-07-31,-12.526881720430108
2017-08-01,-12.24561403508772
2017-08-02,-11.901060070671377
2017-08-03,-13.022556390977444
2017-08-04,-13.553359683794467
2017-08-05,-14.831050228310502
2017-08-06,-12.103626943005182
2017-08-07,-13.765100671140939
2017-08-08,-13.220779220779221
2017-08-09,-12.208494208494209
2017-08-10,-11.408783783783784
2017-08-11,-13.170909090909092
2017-08-12,-13.748538011695906
2017-08-13,-13.970760233918128
2017-08-14,-12.838709677419354
2017-08-15,-12.380403458213257
2017-08-16,-13.818181818181818
2017-08-17,-13.77007299270073
2017-08-18,-13.256505576208179
2017-08-19,-15.51010101010101
2017-08-20,-16.474489795918366
2017-08-21,-14.461095100864553
2017-08-22,-12.823970037453183
2017-08-23,-14.672064777327936
2017-08-24,-12.775330396475772
2017-08-25,-11.951923076923077
2017-08-26,-13.305389221556887
2017-08-27,-12.774891774891774
2017-08-28,-11.519298245614035
2017-08-29,-10.529166666666667
2017-08-30,-11.892128279883382
2017-08-31,-10.432525951557093
2017-09-01,-10.116883116883116
2017-09-02,-12.14516129032258
2017-09-03,-12.619047619047619
2017-09-04,-8.41851851851852
2017-09-05,-10.980952380952381
2017-09-06,-8.888
2017-09-07,-10.687116564417177
2017-09-08,-9.69767441860465
2017-09-09,-10.26923076923077
2017-09-10,-9.340909090909092
2017-09-11,-9.981012658227849
2017-09-12,-9.347258485639687
2017-09-13,-9.150134048257373
2017-09-14,-9.263333333333334
2017-09-15,-8.25089605734767
2017-09-16,-8.69406392694064
2017-09-17,-9.75
2017-09-18,-8.847953216374268
2017-09-19,-7.923841059602649
2017-09-20,-11.803389830508475
2017-09-21,-13.275
2017-09-22,-13.629032258064516
2017-09-23,-11.665178571428571
2017-09-24,-15.125560538116591
2017-09-25,-13.713178294573643
2017-09-26,-13.438650306748466
2017-09-27,-13.5
2017-09-28,-14.539622641509434
2017-09-29,-12.137777777777778
2017-09-30,-14.83957219251337
2017-10-01,-14.22633744855967
2017-10-02,-15.035294117647059
2017-10-03,-13.670454545454545
2017-10-04,-15.179775280898877
2017-10-05,-15.848837209302326
2017-10-06,-11.646825396825397
2017-10-07,-14.135135135135135
2017-10-08,-15.869918699186991
2017-10-09,-10.389473684210527
2017-10-10,-9.14114114114114
2017-10-11,-10.554385964912282
2017-10-12,-11.314814814814815
2017-10-13,-10.875486381322958
2017-10-14,-11.694444444444445
2017-10-15,-11.280373831775702
2017-10-16,-10.165775401069519
2017-10-17,-9.43918918918919
2017-10-18,-11.469325153374234
2017-10-19,-12.409375
2017-10-20,-10.877272727272727
2017-10-21,-11.91705069124424
2017-10-22,-10.743333333333334
2017-10-23,-10.81619937694704
2017-10-24,-11.845360824742269
2017-10-25,-12.025454545454545
2017-10-26,-11.419243986254296
2017-10-27,-11.187022900763358
2017-10-28,-12.562913907284768
2017-10-29,-12.23574144486692
2017-10-30,-8.078291814946619
2017-10-31,-8.31081081081081
2017-11-01,-11.292307692307693
2017-11-02,-12.08713692946058
2017-11-03,-11.11111111111111
2017-11-04,-12.077272727272728
2017-11-05,-12.624505928853756
2017-11-06,-7.5932721712538225
2017-11-07,-11.095588235294118
2017-11-08,-11.821782178217822
2017-11-09,-10.771117166212534
2017-11-10,-8.480891719745223
2017-11-11,-9.66909090909091
2017-11-12,-9.694244604316546
2017-11-13,-7.685792349726776
2017-11-14,-7.667630057803469
2017-11-15,-9.673024523160763
2017-11-16,-7.0418604651162795
2017-11-17,-8.706185567010309
2017-11-18,-8.842657342657343
2017-11-19,-8.883802816901408
2017-11-20,-7.774881516587678
2017-11-21,-5.830917874396135
2017-11-22,-5.986413043478261
2017-11-23,-7.701818181818182
2017-11-24,-6.716363636363637
2017-11-25,-5.842105263157895
2017-11-26,-6.40341655716163
2017-11-27,-6.73394495412844
2017-11-28,-6.618439716312056
2017-11-29,-7.594915254237288
2017-11-30,-10.261904761904763
2017-12-01,-11.436105476673427
2017-12-02,-10.781081081081082
2017-12-03,-11.653366583541148
2017-12-04,-10.100172711571675
2017-12-05,-11.483870967741936
2017-12-06,-11.273584905660377
2017-12-07,-12.087058823529413
2017-12-08,-11.073170731707316
2017-12-09,-12.945454545454545
2017-12-10,-12.582608695652175
2017-12-11,-11.895424836601308
2017-12-12,-11.753164556962025
2017-12-13,-13.89018691588785
2017-12-14,-12.544117647058824
2017-12-15,-14.236923076923077
2017-12-16,-14.285106382978723
2017-12-17,-14.6625
2017-12-18,-12.682857142857143
2017-12-19,-12.944099378881987
2017-12-20,-13.27027027027027
2017-12-21,-14.7
2017-12-22,-14.698924731182796
2017-12-23,-14.091397849462366
2017-12-24,-17.93617021276596
2017-12-25,-14.968152866242038
2017-12-26,-15.594771241830065
2017-12-27,-15.253968253968255
2017-12-28,-14.444897959183674
2017-12-29,-14.87593984962406
2017-12-30,-13.87037037037037
2017-12-31,-13.6
2018-01-01,-15.8828125
2018-01-02,-14.219895287958115
2018-01-03,-13.981865284974093
2018-01-04,-13.177589852008456
2018-01-05,-15.376288659793815
2018-01-06,-15.707434052757794
2018-01-07,-14.625352112676056
2018-01-08,-14.529411764705882
2018-01-09,-13.14918414918415
2018-01-10,-11.53125
2018-01-11,-13.225048923679061
2018-01-12,-12.661702127659574
2018-01-13,-13.319201995012468
2018-01-14,-12.01909307875895
2018-01-15,-12.37870855148342
2018-01-16,-11.195501730103807
2018-01-17,-12.144708423326135
2018-01-18,-11.478632478632479
2018-01-19,-11.985645933014354
2018-01-20,-14.15170278637771
2018-01-21,-12.062322946175637
2018-01-22,-12.515966386554622
2018-01-23,-11.861570247933884
2018-01-24,-10.23953488372093
2018-01-25,-12.317961165048544
2018-01-26,-11.129330254041571
2018-01-27,-13.556776556776557
2018-01-28,-13.829629629629629
2018-01-29,-10.836206896551724
2018-01-30,-10.102409638554217
2018-01-31,-11.691629955947137
2018-02-01,-11.797297297297296
2018-02-02,-11.373493975903614
2018-02-03,-14.082317073170731
2018-02-04,-13.770773638968482
2018-02-05,-11.448940269749519
2018-02-06,-13.149789029535865
2018-02-07,-13.700836820083682
2018-02-08,-10.480392156862745
2018-02-09,-7.309711286089239
2018-02-10,-10.057507987220447
2018-02-11,-9.54421768707483
2018-02-12,-8.648837209302325
2018-02-13,-8.735148514851485
2018-02-14,-8.417935702199662
