customer_state,total_rows,late_rows,unique_orders,late_delivery_rate
AL,697,147,413,0.2109038737446198
MA,1323,218,747,0.16477702191987906
SE,627,96,350,0.15311004784688995
PI,853,124,495,0.14536928487690504
CE,2413,299,1336,0.12391214256112723
BA,6259,723,3380,0.11551366032912606
RJ,23704,2595,12852,0.10947519406007425
ES,3577,384,2033,0.10735253005311714
PA,1745,186,975,0.10659025787965616
PB,993,103,536,0.10372608257804633
RN,867,86,485,0.09919261822376009
TO,481,46,280,0.09563409563409564
MS,1319,122,715,0.09249431387414708
PE,2958,263,1652,0.08891142663962137
SC,6665,528,3637,0.07921980495123782
RR,84,6,46,0.07142857142857142
DF,3767,234,2140,0.062118396602070615
MT,1731,100,907,0.057770075101097634
GO,3757,213,2020,0.05669417088102209
RS,9978,556,5466,0.05572258969733414
SP,76649,3224,41746,0.04206186643009041
MG,21002,883,11635,0.042043614893819636
RO,445,18,253,0.04044943820224719
PR,9277,341,5045,0.03675757249110704
AM,262,9,148,0.03435114503816794
AC,155,4,81,0.025806451612903226
AP,124,3,68,0.024193548387096774
