purchase_date,order_count
2016-09-04,1
2016-09-05,1
2016-09-13,1
2016-09-15,1
2016-10-03,3
2016-10-04,25
2016-10-05,28
2016-10-06,29
2016-10-07,22
2016-10-08,20
2016-10-09,11
2016-10-10,22
2016-12-23,1
2017-01-05,19
2017-01-06,1
2017-01-07,3
2017-01-08,2
2017-01-09,1
2017-01-10,1
2017-01-11,8
2017-01-12,8
2017-01-13,7
2017-01-14,8
2017-01-15,5
2017-01-16,5
2017-01-17,18
2017-01-18,15
2017-01-19,18
2017-01-20,12
2017-01-21,14
2017-01-22,17
2017-01-23,22
2017-01-24,17
2017-01-25,30
2017-01-26,48
2017-01-27,33
2017-01-28,16
2017-01-29,17
2017-01-30,31
2017-01-31,30
2017-02-01,44
2017-02-02,26
2017-02-03,33
2017-02-04,32
2017-02-05,40
2017-02-06,43
2017-02-07,60
2017-02-08,50
2017-02-09,43
2017-02-10,38
2017-02-11,27
2017-02-12,35
2017-02-13,38
2017-02-14,42
2017-02-15,32
2017-02-16,30
2017-02-17,20
2017-02-18,24
2017-02-19,23
2017-02-20,34
2017-02-21,23
2017-02-22,27
2017-02-23,36
2017-02-24,38
2017-02-25,17
2017-02-26,21
2017-02-27,21
2017-02-28,24
2017-03-01,48
2017-03-02,35
2017-03-03,45
2017-03-04,38
2017-03-05,41
2017-03-06,48
2017-03-07,37
2017-03-08,41
2017-03-09,52
2017-03-10,54
2017-03-11,38
2017-03-12,30
2017-03-13,63
2017-03-14,56
2017-03-15,58
2017-03-16,50
2017-03-17,35
2017-03-18,37
2017-03-19,25
2017-03-20,60
2017-03-21,57
2017-03-22,61
2017-03-23,65
2017-03-24,50
2017-03-25,41
2017-03-26,31
2017-03-27,58
2017-03-28,54
2017-03-29,38
2017-03-30,45
2017-03-31,37
2017-04-01,29
2017-04-02,39
2017-04-03,42
2017-04-04,43
2017-04-05,55
2017-04-06,46
2017-04-07,45
2017-04-08,34
2017-04-09,42
2017-04-10,39
2017-04-11,50
2017-04-12,35
2017-04-13,30
2017-04-14,26
2017-04-15,27
2017-04-16,24
2017-04-17,37
2017-04-18,41
2017-04-19,51
2017-04-20,53
2017-04-21,40
2017-04-22,50
2017-04-23,50
2017-04-24,68
2017-04-25,58
2017-04-26,61
2017-04-27,46
2017-04-28,50
2017-04-29,36
2017-04-30,37
2017-05-01,49
2017-05-02,63
2017-05-03,61
2017-05-04,61
2017-05-05,62
2017-05-06,61
2017-05-07,67
2017-05-08,65
2017-05-09,67
2017-05-10,60
2017-05-11,64
2017-05-12,58
2017-05-13,42
2017-05-14,63
2017-05-15,74
2017-05-16,77
2017-05-17,73
2017-05-18,65
2017-05-19,73
2017-05-20,37
2017-05-21,76
2017-05-22,77
2017-05-23,66
2017-05-24,75
2017-05-25,61
2017-05-26,39
2017-05-27,44
2017-05-28,51
2017-05-29,78
2017-05-30,57
2017-05-31,60
2017-06-01,50
2017-06-02,73
2017-06-03,51
2017-06-04,60
2017-06-05,84
2017-06-06,74
2017-06-07,72
2017-06-08,70
2017-06-09,60
2017-06-10,47
2017-06-11,60
2017-06-12,63
2017-06-13,67
2017-06-14,65
2017-06-15,55
2017-06-16,49
2017-06-17,31
2017-06-18,46
2017-06-19,84
2017-06-20,43
2017-06-21,19
2017-06-22,42
2017-06-23,59
2017-06-24,42
2017-06-25,54
2017-06-26,38
2017-06-27,64
2017-06-28,57
2017-06-29,67
2017-06-30,44
2017-07-01,42
2017-07-02,57
2017-07-03,63
2017-07-04,67
2017-07-05,78
2017-07-06,82
2017-07-07,54
2017-07-08,45
2017-07-09,53
2017-07-10,80
2017-07-11,80
2017-07-12,83
2017-07-13,73
2017-07-14,82
2017-07-15,49
2017-07-16,55
2017-07-17,77
2017-07-18,92
2017-07-19,80
2017-07-20,71
2017-07-21,58
2017-07-22,44
2017-07-23,53
2017-07-24,82
2017-07-25,82
2017-07-26,70
2017-07-27,70
2017-07-28,80
2017-07-29,62
2017-07-30,67
2017-07-31,81
2017-08-01,85
2017-08-02,86
2017-08-03,79
2017-08-04,67
2017-08-05,72
2017-08-06,59
2017-08-07,83
2017-08-08,71
2017-08-09,76
2017-08-10,78
2017-08-11,80
2017-08-12,47
2017-08-13,46
2017-08-14,77
2017-08-15,111
2017-08-16,88
2017-08-17,88
2017-08-18,82
2017-08-19,57
2017-08-20,58
2017-08-21,100
2017-08-22,79
2017-08-23,62
