product_category_name,revenue
beleza_saude,794487.52
relogios_presentes,725000.1900000001
cama_mesa_banho,691750.13
esporte_lazer,637353.79
informatica_acessorios,574040.97
moveis_decoracao,496583.16
utilidades_domesticas,435482.83
cool_stuff,405849.44
automotivo,398765.62
ferramentas_jardim,318272.4
brinquedos,311826.01
bebes,262842.04
perfumaria,255091.44
telefonia,206075.38999999998
moveis_escritorio,184411.55
papelaria,152335.69
pcs,144547.65
pet_shop,137049.52
instrumentos_musicais,121235.02
eletroportateis,120146.75
eletronicos,109461.07
unknown,106017.68
consoles_games,99992.74
fashion_bolsas_e_acessorios,98132.84
malas_acessorios,97931.44
construcao_ferramentas_construcao,92362.99
eletrodomesticos_2,57346.51
agro_industria_e_comercio,55693.74
eletrodomesticos,54112.87
casa_construcao,52883.63
moveis_sala,49524.2
casa_conforto,43820.28
audio,31675.420000000002
livros_interesse_geral,31589.57
climatizacao,31010.96
moveis_cozinha_area_de_servico_jantar_e_jardim,30378.34
telefonia_fixa,29567.94
construcao_ferramentas_seguranca,28981.71
construcao_ferramentas_iluminacao,27949.91
industria_comercio_e_negocios,22302.98
alimentos,20498.88
portateis_casa_forno_e_cafe,19515.98
artes,19138.77
construcao_ferramentas_jardim,19132.64
market_place,18900.79
fashion_calcados,17004.51
bebidas,16469.8
sinalizacao_e_seguranca,15900.3
moveis_quarto,13752.61
livros_tecnicos,13524.1
alimentos_bebidas,11501.32
construcao_ferramentas_ferramentas,9803.42
fashion_roupa_masculina,6456.92
artigos_de_natal,5437.64
fashion_underwear_e_moda_praia,5318.3
tablets_impressao_imagem,4783.83
dvds_blu_ray,4215.13
musica,3978.42
cine_foto,3813.69
moveis_colchao_e_estofado,3423.16
artigos_de_festas,3271.4900000000002
livros_importados,3080.01
fashion_roupa_feminina,1743.72
artes_e_artesanato,1591.63
fashion_esporte,1559.0
fraldas_higiene,1436.16
portateis_cozinha_e_preparadores_de_alimentos,1304.9
la_cuisine,1196.82
flores,930.52
pc_gamer,838.44
casa_conforto_2,669.04
cds_dvds_musicais,580.67
fashion_roupa_infanto_juvenil,490.7
seguros_e_servicos,324.51
